Vertical|Site|Pub Date|Title|Author|Content Type|Content Source|Cost|Effort|Total Cost|30 Day Views|60 Day Views|90 Day Views|120 Day Views|150 Day Views|180 Day Views|210 Day Views|240 Day Views|270 Day Views|Lifetime Views|Article Age
Networking|Enterprise Networking Planet|2010-06-21|Faster 40 and 100 Gigabit Ethernet Standard Now Real|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|549|77|49|74|87|54|72|47|0|1009.0|260
Networking|Enterprise Networking Planet|2010-06-18|ISPs Land Hard on FCC for Broadband Move|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|258|7|2|3|2|1|4|1|0|278.0|263
Networking|Enterprise Networking Planet|2010-06-17|FCC Begins Broadband Regulation Fight|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|306|23|7|9|6|1|4|0|0|356.0|264
Networking|Enterprise Networking Planet|2010-06-16|IEEE Spec Will Standardize Broadband Over Power Line|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|700|97|35|32|37|5|18|11|0|935.0|265
Networking|Enterprise Networking Planet|2010-06-15|Sizing Up Windows Essential Business Server 2008|Jabez Gan|Tutorial/Howto|Freelance|350.0|2.0|430.0|219|28|24|42|37|32|18|19|0|419.0|266
Networking|Enterprise Networking Planet|2010-06-14|SQL Injection and XSS Top Web App Security List|Lisa Phifer|Trends|Repurp|0.0|0.25|10.0|132|10|9|12|9|22|7|10|0|211.0|267
Networking|Enterprise Networking Planet|2010-06-11|China Falling in Domain Name Standings|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|1023|18|7|14|4|2|2|0|0|1070.0|270
Networking|Enterprise Networking Planet|2010-06-10|Learn New Features in Active Directory Administrative Center|Jabez Gan|Tutorial/Howto|InternetNews|350.0|2.0|430.0|290|109|110|131|89|112|82|108|132|1163.0|271
Networking|Enterprise Networking Planet|2010-06-09|FCC Commissioner Calls for Action on National Broadband Plan|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|214|6|1|0|4|0|0|1|1|227.0|272
Networking|Enterprise Networking Planet|2010-06-08|Riverbed Rolls Out RiOS 6.1 for the Cloud|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|319|69|27|26|24|24|17|14|20|540.0|273
Networking|Enterprise Networking Planet|2010-06-07|Ciena DRAC Goes Open Source for Network Control|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|230|29|17|14|8|10|4|11|3|326.0|274
Networking|Enterprise Networking Planet|2010-06-07|MAC Address Spoofing for Windows, Linux and Mac|Eric Geier|Tutorial/Howto|Freelance|350.0|1.0|390.0|800|203|197|259|297|222|201|177|149|2505.0|274
Networking|Enterprise Networking Planet|2010-06-04|Is Sticking With Solaris a Wise Choice?|Charlie Schluting|Opinion|Freelance|400.0|1.0|440.0|3126|205|56|57|36|33|21|22|94|3650.0|277
Networking|Enterprise Networking Planet|2010-06-03|Wireless Spectrum Crunch Has Feds Scrambling|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|697|10|12|6|5|7|4|5|5|751.0|278
Networking|Enterprise Networking Planet|2010-06-02|Global Networking Bandwidth Demand Starts to Slow|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|283|42|49|61|67|55|36|51|44|688.0|279
Networking|Enterprise Networking Planet|2010-06-01|Web Application Security: Are You Doing Enough?|Paul Rubens|Trends|Freelance|425.0|1.0|465.0|352|64|69|35|26|31|9|9|22|617.0|280
Networking|Enterprise Networking Planet|2010-07-30|FCC Plans Busy Third Quarter on Spectrum Issues|Alex Goldman|News|InternetNews|0.0|0.25|10.0|198|423|15|10|8|1|3|0|0|658.0|221
Networking|Enterprise Networking Planet|2010-07-30|Simplify Windows WAN Optimization With BranchCache|Jabez Gan|Tutorial/Howto|Freelance|350.0|1.5|410.0|215|112|137|94|83|94|112|0|0|847.0|221
Networking|Enterprise Networking Planet|2010-07-29|House Lawmakers Introduce Spectrum Incentive Auction Act|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|82|14|8|9|9|10|8|0|0|140.0|222
Networking|Enterprise Networking Planet|2010-07-28|DNSSEC is Here. Now What?|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|826|12|19|11|7|5|11|0|0|891.0|223
Networking|Enterprise Networking Planet|2010-07-27|Looking Ahead to Black Hat USA 2010|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|124|0|0|0|0|0|0|0|0|124.0|224
Networking|Enterprise Networking Planet|2010-07-26|Three Steps to a Cracked Android Device|Paul Rubens|Tutorial/Howto|Freelance|425.0|1.0|465.0|1109|580|490|492|272|326|272|0|0|3541.0|225
Networking|Enterprise Networking Planet|2010-07-23|Lawmakers Move to Fund U.S. Broadband|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|114|4|0|1|1|2|3|0|0|125.0|228
Networking|Enterprise Networking Planet|2010-07-23|Riverbed Unveils Virtual WAN Optimization|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|354|84|57|75|40|60|60|0|0|730.0|228
Networking|Enterprise Networking Planet|2010-07-23|Free Wi-Fi Stumblers Do the Work But Save You Money|Eric Geier|Product Review|Freelance|350.0|1.0|390.0|457|193|162|157|70|88|92|0|0|1219.0|228
Networking|Enterprise Networking Planet|2010-07-22|GOP Senators Look to Derail FCC's Broadband Plans|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|109|0|1|1|3|1|1|0|0|116.0|229
Networking|Enterprise Networking Planet|2010-07-22|Don't Bother Waiting for the Linux Revolution: It's Already Here|Kenneth Hess|Opinion|Repurp|0.0|0.25|10.0|379|32|24|2|2|1|3|0|0|443.0|229
Networking|Enterprise Networking Planet|2010-07-21|Juniper Networks Sees Increased Enterprise IT, Carrier Spending|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|191|15|12|6|7|3|4|0|0|238.0|230
Networking|Enterprise Networking Planet|2010-07-21|BitNami Offers Express Ticket to Open Source Stacks|Brian Proffitt|Trends|Freelance|400.0|0.75|430.0|159|48|44|49|31|31|20|0|0|382.0|230
Networking|Enterprise Networking Planet|2010-07-20|Mobile Broadband Push Has Broadcasters Bracing for a Fight|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|144|4|6|10|32|4|3|0|0|203.0|231
Networking|Enterprise Networking Planet|2010-07-20|Six Steps to ITIL Incident Management|Hank Marquis|Tutorial/Howto|Repurp|0.0|0.25|10.0|446|152|188|185|191|150|132|0|0|1444.0|231
Networking|Enterprise Networking Planet|2010-07-19|Denver Maintains Vendor Neutrality in a Cloud Environment|Drew Robb|Trends|Freelance|300.0|1.0|340.0|108|3|1|1|4|1|4|0|0|122.0|232
Networking|Enterprise Networking Planet|2010-07-16|IBM Adds a Firewall to Its IPS Assets|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|114|12|5|10|6|4|4|0|0|155.0|235
Networking|Enterprise Networking Planet|2010-07-15|Learn to Troubleshoot Windows Essential Business Server 2008|Jabez Gan|Tutorial/Howto|Freelance|350.0|1.5|410.0|42|13|31|14|13|9|10|0|0|132.0|236
Networking|Enterprise Networking Planet|2010-07-14|Cisco Leads, But IPS Market is Growing|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|219|2|5|13|5|2|12|0|0|258.0|237
Networking|Enterprise Networking Planet|2010-07-13|Three Steps to a Cracked iPhone|Paul Rubens|Tutorial/Howto|Freelance|425.0|0.75|455.0|1812|115|95|73|56|52|48|0|0|2251.0|238
Networking|Enterprise Networking Planet|2010-07-12|10 Security Reasons to Migrate to Windows 7|Lisa Phifer|Top 10|Repurp|0.0|0.25|10.0|525|52|38|59|57|19|31|0|0|781.0|239
Networking|Enterprise Networking Planet|2010-07-09|Three Critical Holes in Patch Tuesday Crosshairs|Stuart J. Johnston|News|InternetNews|0.0|0.25|10.0|121|0|0|0|0|0|0|0|0|121.0|242
Networking|Enterprise Networking Planet|2010-07-09|Get Started with WS_FTP Server 7.5|Joseph Moran|Product Review|Repurp|0.0|0.25|10.0|47|35|21|19|10|22|16|20|0|190.0|242
Networking|Enterprise Networking Planet|2010-07-08|Learn to Manage Windows Essential Business Server 2008|Jabez Gan|Tutorial/Howto|Freelance|350.0|1.5|410.0|55|5|4|11|13|12|7|4|0|111.0|243
Networking|Enterprise Networking Planet|2010-07-06|Ubuntu's \"Free\" Ride Into the Enterprise|Brian Proffitt|Trends|Freelance|400.0|0.75|430.0|2237|38|35|15|12|35|17|15|0|2404.0|245
Networking|Enterprise Networking Planet|2010-07-02|Likewise Says It's Speeding Up Mixed Environment Management|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|44|4|0|0|0|0|1|2|0|51.0|249
Networking|Enterprise Networking Planet|2010-07-01|Zenoss Melds Open Source Monitoring With Cisco UCS|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|462|57|49|80|48|26|30|21|0|773.0|250
Networking|Enterprise Networking Planet|2010-08-31|Provide Remote Applications and Desktops with Microsoft RDS|Jabez Gan|Tutorial/Howto|Freelance|300.0|2.0|380.0|334|97|75|43|49|52|0|0|0|650.0|189
Networking|Enterprise Networking Planet|2010-08-30|Rediscovering the Lost Network|Drew Robb|Trends|Freelance|300.0|1.0|340.0|232|47|23|10|24|56|0|0|0|392.0|190
Networking|Enterprise Networking Planet|2010-08-27|GAO Asks FCC to Take Closer Look at Wireless Market|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|83|1|2|0|0|0|0|0|0|86.0|193
Networking|Enterprise Networking Planet|2010-08-26|Government Spending Buoys Wi-Fi Market|Drew Robb|Trends|Freelance|300.0|1.0|340.0|171|16|21|52|50|13|0|0|0|323.0|194
Networking|Enterprise Networking Planet|2010-08-25|Juniper Goes with the Flow for New Content Delivery Tech|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|147|19|10|5|3|6|0|0|0|190.0|195
Networking|Enterprise Networking Planet|2010-08-25|IDC: Virtualization, Cloud Drive 2Q Ethernet Switching Growth|Thor Olavsrud|News|InternetNews|0.0|0.25|10.0|168|18|10|11|1|2|0|0|0|210.0|195
Networking|Enterprise Networking Planet|2010-08-24|FCC Chair Reaffirms Support for Net Neutrality|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|149|2|1|1|1|1|0|0|0|155.0|196
Networking|Enterprise Networking Planet|2010-08-24|Biden: Recovery Act Laying the 'Seed Money' for Next Internet|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|337|12|2|4|4|2|0|0|0|361.0|196
Networking|Enterprise Networking Planet|2010-08-20|WAN Log File Data Collection Heads for Standardization|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|214|25|15|43|18|21|0|0|0|336.0|200
Networking|Enterprise Networking Planet|2010-08-20|Ditch Your VPN for DirectAccess|Jabez Gan|Tutorial/Howto|Freelance|350.0|2.0|430.0|381|161|116|72|66|89|0|0|0|885.0|200
Networking|Enterprise Networking Planet|2010-08-18|What to Look for in Open Source Systems Management Products|Brian Proffitt|Trends|Freelance|400.0|1.0|440.0|949|79|33|52|31|31|0|0|0|1175.0|202
Networking|Enterprise Networking Planet|2010-08-17|House Dems Blast Google-Verizon Net Neutrality Pitch|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|147|5|3|1|2|0|0|0|0|158.0|203
Networking|Enterprise Networking Planet|2010-08-16|Google Rebuts Charges of Net Neutrality Sellout|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|234|4|1|0|0|0|0|0|0|239.0|204
Networking|Enterprise Networking Planet|2010-08-13|Understanding the Russian Hacker Underground|Paul Rubens|Trends|Freelance|425.0|1.0|465.0|2090|403|973|209|182|241|0|0|0|4098.0|207
Networking|Enterprise Networking Planet|2010-08-12|Americans Cool on Government's Broadband Agenda: Study|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|119|0|0|1|0|0|0|0|0|120.0|208
Networking|Enterprise Networking Planet|2010-08-11|Cisco Falls Short on Sales|David Needle|News|InternetNews|0.0|0.25|10.0|198|6|7|31|2|3|0|0|0|247.0|209
Networking|Enterprise Networking Planet|2010-08-11|Review: XpressConnect from Cloudpath Networks|Eric Geier|Product Review|Freelance|350.0|1.25|400.0|165|115|87|69|30|76|0|0|0|542.0|209
Networking|Enterprise Networking Planet|2010-08-10|Net Neutrality Groups Pan Google-Verizon Plan|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|408|31|8|2|13|2|0|0|0|464.0|210
Networking|Enterprise Networking Planet|2010-08-09|Polycom Teams With Microsoft for Unified Communications|Stuart J. Johnston|News|InternetNews|0.0|0.25|10.0|3021|62|28|9|8|3|3|0|0|3134.0|211
Networking|Enterprise Networking Planet|2010-08-09|Google, Verizon Outline Net Neutrality Compromise|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|152|11|5|8|31|7|9|0|0|223.0|211
Networking|Enterprise Networking Planet|2010-08-06|Easing the Differences Between Unix and Linux|Brian Proffitt|Trends|Freelance|400.0|1.0|440.0|1837|79|50|26|18|10|20|0|0|2040.0|214
Networking|Enterprise Networking Planet|2010-08-06|FCC Scraps Net Neutrality Compromise Talks|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|277|17|6|7|12|2|0|0|0|321.0|214
Networking|Enterprise Networking Planet|2010-08-06|Power Protection for Your Business: UPS and Beyond|No Author|Trends|Editor-Written|0.0|0.25|10.0|21|1|0|2|0|0|0|0|0|24.0|214
Networking|Enterprise Networking Planet|2010-08-06|Five Data Storage Trends to Watch|No Author|Trends|Editor-Written|0.0|0.25|10.0|58|68|20|11|3|6|4|0|0|170.0|214
Networking|Enterprise Networking Planet|2010-08-05|USDA Doles Out $1.2 Billion in Broadband Grants|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|381|25|2|1|1|1|4|0|0|415.0|215
Networking|Enterprise Networking Planet|2010-08-04|Looking at Metasploit's Roadmap|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|131|48|26|14|8|6|0|0|0|233.0|216
Networking|Enterprise Networking Planet|2010-08-03|HP Charts a Security Course With TippingPoint|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|305|26|28|25|16|17|32|0|0|449.0|217
Networking|Enterprise Networking Planet|2010-08-02|Microsoft Rushes Out an Out-of-Band Patch|Stuart J. Johnston|News|InternetNews|0.0|0.25|10.0|403|1|1|0|0|0|0|0|0|405.0|218
Networking|Enterprise Networking Planet|2010-09-30|FCC Could Move on Net Neutrality After House Bill Stalls|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|162|11|7|0|1|0|0|0|0|181.0|159
Networking|Enterprise Networking Planet|2010-09-30|Netgear Takes Aim at Network Management|Sean Michael Kerner|News|InternetNews|0.0|0.5|20.0|194|27|21|13|14|0|0|0|0|269.0|159
Networking|Enterprise Networking Planet|2010-09-29|House Net Neutrality Compromise Falls Apart|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|153|6|13|1|1|0|0|0|0|174.0|160
Networking|Enterprise Networking Planet|2010-09-28|Stuxnet Marks the Ongoing Power of the Worm|Paul Rubens|Trends|Freelance|425.0|1.0|465.0|963|20|14|10|13|0|0|0|0|1020.0|161
Networking|Enterprise Networking Planet|2010-09-24|196 Million Domain Names and Counting|Sean Michael Kerner|News|InternetNews|0.0|0.5|20.0|257|5|3|1|0|0|0|0|0|266.0|165
Networking|Enterprise Networking Planet|2010-09-23|FCC Clears the Path for White-Space Networks|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|697|37|20|6|8|0|0|0|0|768.0|166
Networking|Enterprise Networking Planet|2010-09-22|Senate Panel Mulls ECPA Update for Cloud Era|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|102|15|4|12|6|0|0|0|0|139.0|167
Networking|Enterprise Networking Planet|2010-09-21|Does Cloud Computing Make Sense for Integrators?|Jabez Gan|Trends|Freelance|350.0|1.5|410.0|405|59|31|16|15|0|0|0|0|526.0|168
Networking|Enterprise Networking Planet|2010-09-20|Dispelling the Myth of Cloud Standards|Brian Proffitt|Trends|Freelance|400.0|1.0|440.0|476|64|105|39|78|0|0|0|0|762.0|169
Networking|Enterprise Networking Planet|2010-09-16|Considering Security on Murphy's Network|Paul Rubens|Trends|Freelance|425.0|1.0|465.0|288|20|14|2|2|0|0|0|0|326.0|173
Networking|Enterprise Networking Planet|2010-09-15|Brocade Unleashes 15.36 Terabit Per Second Core Routing Platform|Sean Michael Kerner|News|InternetNews|0.0|0.5|20.0|307|29|19|9|10|0|0|0|0|374.0|174
Networking|Enterprise Networking Planet|2010-09-15|Looking Ahead to the World of White Spaces|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|313|20|9|1|2|0|0|0|0|345.0|174
Networking|Enterprise Networking Planet|2010-09-15|Cisco Network Architecture Strategy Paying Dividends|Sean Michael Kerner|News|InternetNews|0.0|0.5|20.0|461|60|31|7|9|0|0|0|0|568.0|174
Networking|Enterprise Networking Planet|2010-09-14|Cisco Unifies Network Services With New Data Center Architecture|Sean Michael Kerner|News|InternetNews|0.0|0.5|20.0|658|60|22|6|19|0|0|0|0|765.0|175
Networking|Enterprise Networking Planet|2010-09-13|Will Cisco Be the Next to Fall to Open Source?|Drew Robb|Trends|Freelance|300.0|1.0|340.0|2496|491|247|136|112|0|0|0|0|3482.0|176
Networking|Enterprise Networking Planet|2010-09-10|Centralize Management With Microsoft Group Policy|Jabez Gan|Tutorial/Howto|Freelance|350.0|1.5|410.0|260|110|86|31|49|0|0|0|0|536.0|179
Networking|Enterprise Networking Planet|2010-09-08|Review: Avenda Quick1X 802.1X Configuration Tool|Eric Geier|Product Review|Freelance|350.0|1.0|390.0|409|117|33|47|49|63|0|0|0|718.0|181
Networking|Enterprise Networking Planet|2010-09-07|White House, FCC Unveil New Web Platforms|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|379|2|0|1|0|0|0|0|0|382.0|182
Networking|Enterprise Networking Planet|2010-09-07|Demand for Video Sparks Need for Improved Bandwidth Management|Drew Robb|Trends|Freelance|300.0|1.0|340.0|74|56|30|10|17|7|0|0|0|194.0|182
Networking|Enterprise Networking Planet|2010-09-03|Cisco Snaps Up Smart Grid Wireless Sensor Maker Arch Rock|Thor Olavsrud|News|InternetNews|0.0|0.5|20.0|217|35|14|22|11|11|0|0|0|310.0|186
Networking|Enterprise Networking Planet|2010-09-02|Does the Fate of OpenSolaris Tell Us Where Unix Is Headed?|Brian Proffitt|Trends|Freelance|400.0|1.0|440.0|1979|82|46|9|11|9|0|0|0|2136.0|187
Networking|Enterprise Networking Planet|2010-09-01|FCC Delays on Net Neutrality Decision as Industry Deals Behind Closed Doors|Kenneth Corbin|News|InternetNews|0.0|0.5|20.0|139|11|1|3|0|0|0|0|0|154.0|188
Networking|Enterprise Networking Planet|2010-10-29|Wireless Firms See Progress in Special Access Fight With Bells|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|158|6|3|5|0|0|0|0|0|172.0|130
Networking|Enterprise Networking Planet|2010-10-27|Juniper Addresses Smartphone Security|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|304|50|21|43|0|0|0|0|0|418.0|132
Networking|Enterprise Networking Planet|2010-10-26|Fujitsu Teams With Cisco and VMWare for Virtualized Data Center|Drew Robb|Trends|Freelance|300.0|1.0|340.0|416|28|17|14|0|0|0|0|0|475.0|133
Networking|Enterprise Networking Planet|2010-10-25|Blue Coat WAN Optimization Aimed at Video Floods|David Needle|News|InternetNews|0.0|0.25|10.0|139|22|6|13|0|0|0|0|0|180.0|134
Networking|Enterprise Networking Planet|2010-10-22|Ubuntu Makes Private Clouds a Breeze|Brian Proffitt|Tutorial/Howto|Freelance|400.0|1.0|440.0|2041|362|308|292|0|0|0|0|0|3003.0|137
Networking|Enterprise Networking Planet|2010-10-21|MontaVista Aims for Bare Metal with Carrier Grade Edition Linux 6.0|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|434|15|20|18|0|0|0|0|0|487.0|138
Networking|Enterprise Networking Planet|2010-10-20|HP Networking Certifying IT Pros for Converged Infrastructure|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|326|31|14|13|0|0|0|0|0|384.0|139
Networking|Enterprise Networking Planet|2010-10-20|Juniper Goes 3D for Q3 Earnings|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|151|9|5|9|0|0|0|0|0|174.0|139
Networking|Enterprise Networking Planet|2010-10-19|So, Microsoft, How's Secure Windows Working Out?|Paul Rubens|Opinion|Freelance|425.0|1.0|465.0|535|48|14|3|0|0|0|0|0|600.0|140
