ID|Vertical|Site|Pub Date|Title|Author|Editor|Content Type|Content Source|Cost|30 Day Views|30 Day BounceRate|60 Day Views|60 Day BounceRate|90 Day Views|90 Day BounceRate|Lifetime Views
3115|Networking|Enterprise Networking Planet|2010-06-11|China Falling in Domain Name Standings|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|1023|0.92|18|0.94|7|0.83|1070.0
3162|Networking|Enterprise Networking Planet|2010-06-10|Learn New Features in Active Directory Administrative Center|Jabez Gan|Michael Hall|Tutorial/Howto|InternetNews|350.0|290|0.85|109|0.86|110|0.87|1031.0
3207|Networking|Enterprise Networking Planet|2010-06-09|FCC Commissioner Calls for Action on National Broadband Plan|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|214|0.86|6|1.0|1|1.0|226.0
3259|Networking|Enterprise Networking Planet|2010-06-08|Riverbed Rolls Out RiOS 6.1 for the Cloud|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|319|0.87|69|0.86|27|0.73|520.0
3300|Networking|Enterprise Networking Planet|2010-06-07|Ciena DRAC Goes Open Source for Network Control|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|230|0.87|29|0.78|17|0.94|323.0
3311|Networking|Enterprise Networking Planet|2010-06-07|MAC Address Spoofing for Windows, Linux and Mac|Eric Geier|Michael Hall|Tutorial/Howto|Freelance|350.0|800|0.88|203|0.94|197|0.92|2356.0
3354|Networking|Enterprise Networking Planet|2010-06-04|Is Sticking With Solaris a Wise Choice?|Charlie Schluting|Michael Hall|Opinion|Freelance|400.0|3126|0.92|205|0.83|56|0.88|3556.0
3414|Networking|Enterprise Networking Planet|2010-06-03|Wireless Spectrum Crunch Has Feds Scrambling|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|697|0.9|10|1.0|12|0.89|746.0
3468|Networking|Enterprise Networking Planet|2010-06-02|Global Networking Bandwidth Demand Starts to Slow|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|283|0.85|42|0.83|49|0.88|688.0
3508|Networking|Enterprise Networking Planet|2010-06-01|Web Application Security: Are You Doing Enough?|Paul Rubens|Michael Hall|Trends|Freelance|425.0|352|0.86|64|0.83|69|0.74|617.0
3729|Networking|Enterprise Networking Planet|2010-07-30|FCC Plans Busy Third Quarter on Spectrum Issues|Alex Goldman|Michael Hall|News|InternetNews|0.0|198|0.89|423|0.91|15|0.571429|658.0
3735|Networking|Enterprise Networking Planet|2010-07-30|Simplify Windows WAN Optimization With BranchCache|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|215|0.64|112|0.71|137|0.47561|847.0
3780|Networking|Enterprise Networking Planet|2010-07-29|House Lawmakers Introduce Spectrum Incentive Auction Act|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|82|0.88|14|0.44|8|0.857143|140.0
3835|Networking|Enterprise Networking Planet|2010-07-28|DNSSEC is Here. Now What?|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|826|0.92|12|0.91|19|0.888889|891.0
3898|Networking|Enterprise Networking Planet|2010-07-27|Looking Ahead to Black Hat USA 2010|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|124|0.82|0|0.0|0|0.0|124.0
3952|Networking|Enterprise Networking Planet|2010-07-26|Three Steps to a Cracked Android Device|Paul Rubens|Michael Hall|Tutorial/Howto|Freelance|425.0|1109|0.92|580|0.96|490|0.96788|3541.0
4017|Networking|Enterprise Networking Planet|2010-07-23|Lawmakers Move to Fund U.S. Broadband|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|114|0.86|4|0.67|0|0.0|125.0
4036|Networking|Enterprise Networking Planet|2010-07-23|Riverbed Unveils Virtual WAN Optimization|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|354|0.84|84|0.76|57|0.7|730.0
4039|Networking|Enterprise Networking Planet|2010-07-23|Free Wi-Fi Stumblers Do the Work But Save You Money|Eric Geier|Michael Hall|Product Review|Freelance|350.0|457|0.66|193|0.61|162|0.707071|1219.0
4062|Networking|Enterprise Networking Planet|2010-07-22|GOP Senators Look to Derail FCC's Broadband Plans|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|109|0.78|0|0.0|1|1.0|116.0
4093|Networking|Enterprise Networking Planet|2010-07-22|Don't Bother Waiting for the Linux Revolution: It's Already Here|Kenneth Hess|Michael Hall|Opinion|Repurp|0.0|379|0.92|32|0.57|24|0.666667|443.0
4126|Networking|Enterprise Networking Planet|2010-07-21|Juniper Networks Sees Increased Enterprise IT, Carrier Spending|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|191|0.88|15|1.0|12|1.0|238.0
4144|Networking|Enterprise Networking Planet|2010-07-21|BitNami Offers Express Ticket to Open Source Stacks|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|159|0.88|48|0.95|44|0.97619|382.0
4156|Networking|Enterprise Networking Planet|2010-07-20|Mobile Broadband Push Has Broadcasters Bracing for a Fight|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|144|0.9|4|1.0|6|1.0|203.0
4191|Networking|Enterprise Networking Planet|2010-07-20|Six Steps to ITIL Incident Management|Hank Marquis|Michael Hall|Tutorial/Howto|Repurp|0.0|446|0.86|152|0.77|188|0.840764|1444.0
4239|Networking|Enterprise Networking Planet|2010-07-19|Denver Maintains Vendor Neutrality in a Cloud Environment|Drew Robb|Michael Hall|Trends|Freelance|300.0|108|0.85|3|1.0|1|0.0|122.0
4250|Networking|Enterprise Networking Planet|2010-07-16|IBM Adds a Firewall to Its IPS Assets|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|114|0.92|12|1.0|5|0.75|155.0
4339|Networking|Enterprise Networking Planet|2010-07-15|Learn to Troubleshoot Windows Essential Business Server 2008|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|42|0.86|13|0.92|31|0.92|132.0
4361|Networking|Enterprise Networking Planet|2010-07-14|Cisco Leads, But IPS Market is Growing|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|219|0.86|2|0.0|5|0.5|258.0
4393|Networking|Enterprise Networking Planet|2010-07-13|Three Steps to a Cracked iPhone|Paul Rubens|Michael Hall|Tutorial/Howto|Freelance|425.0|1812|0.65|115|0.6|95|0.632653|2251.0
4448|Networking|Enterprise Networking Planet|2010-07-12|10 Security Reasons to Migrate to Windows 7|Lisa Phifer|Michael Hall|Top 10|Repurp|0.0|525|0.86|52|0.95|38|0.857143|781.0
4505|Networking|Enterprise Networking Planet|2010-07-09|Three Critical Holes in Patch Tuesday Crosshairs|Stuart J. Johnston|Michael Hall|News|InternetNews|0.0|121|0.92|0|0.0|0|0.0|121.0
4506|Networking|Enterprise Networking Planet|2010-07-09|Get Started with WS_FTP Server 7.5|Joseph Moran|Michael Hall|Product Review|Repurp|0.0|47|0.86|35|0.86|21|0.866667|170.0
4546|Networking|Enterprise Networking Planet|2010-07-08|Learn to Manage Windows Essential Business Server 2008|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|55|0.78|5|0.5|4|1.0|107.0
4641|Networking|Enterprise Networking Planet|2010-07-06|Ubuntu's \"Free\" Ride Into the Enterprise|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|2237|0.94|38|0.94|35|0.793103|2389.0
4703|Networking|Enterprise Networking Planet|2010-07-02|Likewise Says It's Speeding Up Mixed Environment Management|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|44|0.86|4|1.0|0|0.0|51.0
4754|Networking|Enterprise Networking Planet|2010-07-01|Zenoss Melds Open Source Monitoring With Cisco UCS|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|462|0.9|57|0.88|49|0.96|773.0
4932|Networking|Enterprise Networking Planet|2010-08-31|Provide Remote Applications and Desktops with Microsoft RDS|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|300.0|334|0.87|97|0.961538|75|0.968254|650.0
4986|Networking|Enterprise Networking Planet|2010-08-30|Rediscovering the Lost Network|Drew Robb|Michael Hall|Trends|Freelance|300.0|232|0.83|47|0.736842|23|0.769231|392.0
5049|Networking|Enterprise Networking Planet|2010-08-27|GAO Asks FCC to Take Closer Look at Wireless Market|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|83|0.93|1|1.0|2|0.0|86.0
5098|Networking|Enterprise Networking Planet|2010-08-26|Government Spending Buoys Wi-Fi Market|Drew Robb|Michael Hall|Trends|Freelance|300.0|171|0.87|16|1.0|21|0.882353|323.0
5135|Networking|Enterprise Networking Planet|2010-08-25|Juniper Goes with the Flow for New Content Delivery Tech|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|147|0.79|19|0.785714|10|0.5|190.0
5144|Networking|Enterprise Networking Planet|2010-08-25|IDC: Virtualization, Cloud Drive 2Q Ethernet Switching Growth|Thor Olavsrud|Michael Hall|News|InternetNews|0.0|168|0.83|18|0.9375|10|1.0|210.0
5184|Networking|Enterprise Networking Planet|2010-08-24|FCC Chair Reaffirms Support for Net Neutrality|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|149|0.85|2|0.0|1|1.0|155.0
5190|Networking|Enterprise Networking Planet|2010-08-24|Biden: Recovery Act Laying the 'Seed Money' for Next Internet|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|337|0.92|12|0.888889|2|1.0|361.0
5277|Networking|Enterprise Networking Planet|2010-08-20|WAN Log File Data Collection Heads for Standardization|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|214|0.86|25|0.941176|15|1.0|336.0
5302|Networking|Enterprise Networking Planet|2010-08-20|Ditch Your VPN for DirectAccess|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|381|0.81|161|0.796296|116|0.746667|885.0
5364|Networking|Enterprise Networking Planet|2010-08-18|What to Look for in Open Source Systems Management Products|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|949|0.88|79|0.833333|33|0.95|1175.0
5435|Networking|Enterprise Networking Planet|2010-08-17|House Dems Blast Google-Verizon Net Neutrality Pitch|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|147|0.78|5|1.0|3|0.5|158.0
5478|Networking|Enterprise Networking Planet|2010-08-16|Google Rebuts Charges of Net Neutrality Sellout|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|234|0.89|4|1.0|1|0.0|239.0
5507|Networking|Enterprise Networking Planet|2010-08-13|Understanding the Russian Hacker Underground|Paul Rubens|Michael Hall|Trends|Freelance|425.0|2090|0.91|403|0.921283|973|0.910242|4098.0
5568|Networking|Enterprise Networking Planet|2010-08-12|Americans Cool on Government's Broadband Agenda: Study|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|119|0.89|0|0.0|0|0.0|120.0
5611|Networking|Enterprise Networking Planet|2010-08-11|Cisco Falls Short on Sales|David Needle|Michael Hall|News|InternetNews|0.0|198|0.88|6|0.6|7|0.0|247.0
5622|Networking|Enterprise Networking Planet|2010-08-11|Review: XpressConnect from Cloudpath Networks|Eric Geier|Michael Hall|Product Review|Freelance|350.0|165|0.83|115|0.788235|87|0.7|542.0
5656|Networking|Enterprise Networking Planet|2010-08-10|Net Neutrality Groups Pan Google-Verizon Plan|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|408|0.9|31|0.666667|8|1.0|464.0
5706|Networking|Enterprise Networking Planet|2010-08-09|Polycom Teams With Microsoft for Unified Communications|Stuart J. Johnston|Michael Hall|News|InternetNews|0.0|3021|0.86|62|0.836364|28|0.884615|3131.0
5707|Networking|Enterprise Networking Planet|2010-08-09|Google, Verizon Outline Net Neutrality Compromise|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|152|0.8|11|1.0|5|0.8|214.0
5754|Networking|Enterprise Networking Planet|2010-08-06|Easing the Differences Between Unix and Linux|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|1837|0.95|79|0.902439|50|0.764706|2020.0
5756|Networking|Enterprise Networking Planet|2010-08-06|FCC Scraps Net Neutrality Compromise Talks|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|277|0.93|17|0.833333|6|1.0|321.0
5758|Networking|Enterprise Networking Planet|2010-08-06|Power Protection for Your Business: UPS and Beyond|No Author|Michael Hall|Trends|Editor-Written|0.0|21|0.7|1|1.0|0|0.0|24.0
5759|Networking|Enterprise Networking Planet|2010-08-06|Five Data Storage Trends to Watch|No Author|Michael Hall|Trends|Editor-Written|0.0|58|0.62|68|0.903226|20|0.642857|166.0
5812|Networking|Enterprise Networking Planet|2010-08-05|USDA Doles Out $1.2 Billion in Broadband Grants|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|381|0.82|25|0.722222|2|0.0|411.0
5839|Networking|Enterprise Networking Planet|2010-08-04|Looking at Metasploit's Roadmap|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|131|0.88|48|0.875|26|0.823529|233.0
5881|Networking|Enterprise Networking Planet|2010-08-03|HP Charts a Security Course With TippingPoint|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|305|0.91|26|0.916667|28|0.884615|417.0
5932|Networking|Enterprise Networking Planet|2010-08-02|Microsoft Rushes Out an Out-of-Band Patch|Stuart J. Johnston|Michael Hall|News|InternetNews|0.0|403|0.91|1|0.0|1|0.0|405.0
7121|Networking|Enterprise Networking Planet|2010-09-30|FCC Could Move on Net Neutrality After House Bill Stalls|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|162|0.80597|11|1.0|7|1.0|181.0
7130|Networking|Enterprise Networking Planet|2010-09-30|Netgear Takes Aim at Network Management|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|194|0.898734|27|0.904762|21|0.777778|269.0
7154|Networking|Enterprise Networking Planet|2010-09-29|House Net Neutrality Compromise Falls Apart|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|153|0.924242|6|0.75|13|0.5|174.0
7199|Networking|Enterprise Networking Planet|2010-09-28|Stuxnet Marks the Ongoing Power of the Worm|Paul Rubens|Michael Hall|Trends|Freelance|425.0|963|0.927835|20|0.866667|14|0.818182|1020.0
7305|Networking|Enterprise Networking Planet|2010-09-24|196 Million Domain Names and Counting|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|257|0.873239|5|1.0|3|0.666667|266.0
7338|Networking|Enterprise Networking Planet|2010-09-23|FCC Clears the Path for White-Space Networks|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|697|0.848485|37|0.777778|20|0.823529|768.0
7381|Networking|Enterprise Networking Planet|2010-09-22|Senate Panel Mulls ECPA Update for Cloud Era|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|102|0.875|15|0.833333|4|1.0|139.0
7426|Networking|Enterprise Networking Planet|2010-09-21|Does Cloud Computing Make Sense for Integrators?|Jabez Gan|Michael Hall|Trends|Freelance|350.0|405|0.875796|59|0.625|31|0.647059|526.0
7471|Networking|Enterprise Networking Planet|2010-09-20|Dispelling the Myth of Cloud Standards|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|476|0.889447|64|0.911111|105|0.727273|762.0
7569|Networking|Enterprise Networking Planet|2010-09-16|Considering Security on Murphy's Network|Paul Rubens|Michael Hall|Trends|Freelance|425.0|288|0.896694|20|1.0|14|0.428571|326.0
7609|Networking|Enterprise Networking Planet|2010-09-15|Brocade Unleashes 15.36 Terabit Per Second Core Routing Platform|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|307|0.783654|29|0.842105|19|0.727273|374.0
7612|Networking|Enterprise Networking Planet|2010-09-15|Looking Ahead to the World of White Spaces|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|313|0.847059|20|0.866667|9|0.666667|345.0
7620|Networking|Enterprise Networking Planet|2010-09-15|Cisco Network Architecture Strategy Paying Dividends|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|461|0.877285|60|0.864407|31|0.769231|568.0
7659|Networking|Enterprise Networking Planet|2010-09-14|Cisco Unifies Network Services With New Data Center Architecture|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|658|0.860424|60|0.90566|22|0.85|765.0
7685|Networking|Enterprise Networking Planet|2010-09-13|Will Cisco Be the Next to Fall to Open Source?|Drew Robb|Michael Hall|Trends|Freelance|300.0|2496|0.918242|491|0.851064|247|0.897059|3482.0
7733|Networking|Enterprise Networking Planet|2010-09-10|Centralize Management With Microsoft Group Policy|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|260|0.883495|110|0.888889|86|0.915254|536.0
7829|Networking|Enterprise Networking Planet|2010-09-08|Review: Avenda Quick1X 802.1X Configuration Tool|Eric Geier|Michael Hall|Product Review|Freelance|350.0|409|0.665272|117|0.7|33|0.782609|655.0
7879|Networking|Enterprise Networking Planet|2010-09-07|White House, FCC Unveil New Web Platforms|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|379|0.896875|2|1.0|0|0.0|382.0
7880|Networking|Enterprise Networking Planet|2010-09-07|Demand for Video Sparks Need for Improved Bandwidth Management|Drew Robb|Michael Hall|Trends|Freelance|300.0|74|0.864865|56|0.875|30|0.875|187.0
7935|Networking|Enterprise Networking Planet|2010-09-03|Cisco Snaps Up Smart Grid Wireless Sensor Maker Arch Rock|Thor Olavsrud|Michael Hall|News|InternetNews|0.0|217|0.873016|35|0.866667|14|0.923077|299.0
7974|Networking|Enterprise Networking Planet|2010-09-02|Does the Fate of OpenSolaris Tell Us Where Unix Is Headed?|Brian Proffitt|Michael Hall|Trends|Freelance|400.0|1979|0.947081|82|0.947368|46|0.96|2127.0
8028|Networking|Enterprise Networking Planet|2010-09-01|FCC Delays on Net Neutrality Decision as Industry Deals Behind Closed Doors|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|139|0.846154|11|1.0|1|1.0|154.0
48064|Networking|Enterprise Networking Planet|2010-10-29|Wireless Firms See Progress in Special Access Fight With Bells|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|158|0.85567|6|1.0|3|1.0|172.0
48147|Networking|Enterprise Networking Planet|2010-10-27|Juniper Addresses Smartphone Security|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|304|0.774468|50|0.809524|21|0.823529|418.0
48196|Networking|Enterprise Networking Planet|2010-10-26|Fujitsu Teams With Cisco and VMWare for Virtualized Data Center|Drew Robb|Michael Hall|Trends|Freelance|300.0|416|0.8625|28|0.9375|17|0.6|475.0
48245|Networking|Enterprise Networking Planet|2010-10-25|Blue Coat WAN Optimization Aimed at Video Floods|David Needle|Michael Hall|News|InternetNews|0.0|139|0.826531|22|0.842105|6|0.8|180.0
48275|Networking|Enterprise Networking Planet|2010-10-22|Ubuntu Makes Private Clouds a Breeze|Brian Proffitt|Michael Hall|Tutorial/Howto|Freelance|400.0|2041|0.902864|362|0.849265|308|0.913934|3003.0
48325|Networking|Enterprise Networking Planet|2010-10-21|MontaVista Aims for Bare Metal with Carrier Grade Edition Linux 6.0|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|434|0.906336|15|0.933333|20|0.777778|487.0
48364|Networking|Enterprise Networking Planet|2010-10-20|HP Networking Certifying IT Pros for Converged Infrastructure|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|326|0.839695|31|0.925926|14|0.923077|384.0
48368|Networking|Enterprise Networking Planet|2010-10-20|Juniper Goes 3D for Q3 Earnings|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|151|0.864078|9|1.0|5|0.6|174.0
