Date|Type|Source|30 Day Views|60 Day Views|90 Day Views|120 Day Views|150 Day Views|180 Day Views|210 Day Views|240 Day Views|Lifetime views
2010-05-19|Tutorial/Howto|Freelance|3633.0|544.0|527.0|422.0|337.0|386.0|320.0|218.0|6387.0
2010-05-19|Tutorial/Howto|Freelance|10341.0|1195.0|623.0|564.0|543.0|568.0|424.0|354.0|14612.0
2010-05-19|Tutorial/Howto|Contributed|348.0|36.0|28.0|53.0|74.0|60.0|30.0|26.0|655.0
2010-05-19|Tutorial/Howto|Freelance|310.0|121.0|158.0|165.0|151.0|161.0|149.0|190.0|1405.0
2010-05-18|Tutorial/Howto|Freelance|16080.0|2289.0|2806.0|3516.0|3023.0|2523.0|1772.0|1387.0|33396.0
2010-05-18|Tutorial/Howto|Freelance|1124.0|91.0|76.0|33.0|52.0|35.0|51.0|62.0|1524.0
2010-05-18|Tutorial/Howto|Contributed|186.0|16.0|15.0|8.0|7.0|1.0|3.0|4.0|240.0
2010-05-18|Tutorial/Howto|Freelance|2988.0|322.0|258.0|97.0|123.0|46.0|34.0|22.0|3890.0
2010-05-17|Tutorial/Howto|Freelance|596.0|301.0|312.0|395.0|566.0|604.0|499.0|360.0|3633.0
2010-05-17|Tutorial/Howto|Freelance|4961.0|335.0|281.0|234.0|273.0|202.0|171.0|135.0|6592.0
2010-05-17|Tutorial/Howto|Freelance|367.0|140.0|101.0|113.0|107.0|103.0|102.0|86.0|1119.0
2010-05-17|Tutorial/Howto|Editor-Written|18332.0|14528.0|15900.0|17881.0|19662.0|20156.0|20512.0|16867.0|143838.0
2010-05-14|Tutorial/Howto|Freelance|3218.0|1239.0|1139.0|1231.0|1199.0|1394.0|1012.0|877.0|12671.0
2010-05-14|Tutorial/Howto|Freelance|1398.0|389.0|87.0|84.0|63.0|58.0|38.0|34.0|2169.0
2010-05-13|Tutorial/Howto|Freelance|2695.0|416.0|306.0|185.0|170.0|168.0|163.0|111.0|4334.0
2010-05-13|Tutorial/Howto|Freelance|284.0|208.0|56.0|47.0|24.0|24.0|20.0|10.0|681.0
2010-05-13|Tutorial/Howto|Freelance|213.0|39.0|57.0|36.0|23.0|25.0|37.0|28.0|477.0
2010-05-12|Tutorial/Howto|Freelance|3594.0|784.0|724.0|498.0|615.0|677.0|519.0|449.0|8460.0
2010-05-12|Tutorial/Howto|Freelance|1916.0|396.0|360.0|455.0|478.0|520.0|551.0|470.0|5630.0
2010-05-12|Tutorial/Howto|Contributed|140.0|63.0|52.0|67.0|55.0|41.0|36.0|29.0|522.0
2010-05-12|Tutorial/Howto|Freelance|26830.0|942.0|943.0|564.0|518.0|557.0|270.0|192.0|31041.0
2010-05-12|Tutorial/Howto|Freelance|641.0|329.0|275.0|248.0|255.0|172.0|191.0|142.0|2438.0
2010-05-12|Tutorial/Howto|Contributed|41.0|5.0|9.0|0.0|0.0|4.0|1.0|2.0|67.0
2010-05-12|Tutorial/Howto|Freelance|341.0|145.0|166.0|123.0|105.0|101.0|98.0|67.0|1146.0
2010-05-11|Tutorial/Howto|Freelance|1253.0|207.0|217.0|164.0|170.0|176.0|195.0|172.0|2713.0
2010-05-11|Tutorial/Howto|Freelance|3635.0|682.0|633.0|466.0|536.0|431.0|446.0|308.0|7445.0
2010-05-10|Tutorial/Howto|Freelance|2651.0|227.0|192.0|205.0|209.0|270.0|182.0|108.0|4135.0
2010-05-10|Tutorial/Howto|Contributed|143.0|74.0|44.0|34.0|32.0|45.0|23.0|35.0|451.0
2010-05-10|Tutorial/Howto|Freelance|2144.0|362.0|357.0|289.0|451.0|434.0|309.0|311.0|5031.0
2010-05-10|Tutorial/Howto|Freelance|1306.0|297.0|237.0|271.0|192.0|251.0|262.0|228.0|3369.0
2010-05-10|Tutorial/Howto|Freelance|828.0|471.0|430.0|325.0|301.0|311.0|216.0|106.0|3117.0
2010-05-07|Tutorial/Howto|Freelance|277.0|157.0|136.0|77.0|71.0|91.0|107.0|71.0|1068.0
2010-05-07|Tutorial/Howto|Contributed|497.0|204.0|81.0|128.0|75.0|66.0|39.0|44.0|1174.0
2010-05-07|Tutorial/Howto|Freelance|1288.0|564.0|761.0|851.0|621.0|578.0|708.0|527.0|6606.0
2010-05-07|Tutorial/Howto|Editor-Written|9983.0|7594.0|7811.0|7991.0|9578.0|10114.0|9150.0|6376.0|76443.0
2010-05-06|Tutorial/Howto|Freelance|4254.0|382.0|365.0|308.0|362.0|214.0|529.0|288.0|7043.0
2010-05-06|Tutorial/Howto|Freelance|277.0|186.0|161.0|175.0|269.0|259.0|259.0|276.0|2164.0
2010-05-06|Tutorial/Howto|Contributed|777.0|159.0|173.0|217.0|137.0|127.0|83.0|50.0|1792.0
2010-05-06|Tutorial/Howto|Freelance|272.0|24.0|12.0|10.0|9.0|6.0|6.0|4.0|345.0
2010-05-06|Tutorial/Howto|Freelance|897.0|441.0|482.0|789.0|503.0|387.0|609.0|509.0|5272.0
2010-05-05|Tutorial/Howto|Freelance|974.0|112.0|63.0|59.0|53.0|62.0|61.0|40.0|1472.0
2010-05-05|Tutorial/Howto|Contributed|308.0|101.0|88.0|34.0|46.0|25.0|25.0|18.0|653.0
2010-05-05|Tutorial/Howto|Freelance|431.0|151.0|189.0|205.0|229.0|240.0|217.0|107.0|1930.0
2010-05-05|Tutorial/Howto|Freelance|771.0|307.0|533.0|567.0|728.0|472.0|623.0|832.0|5621.0
2010-05-05|Tutorial/Howto|Freelance|519.0|327.0|289.0|343.0|329.0|394.0|465.0|374.0|3446.0
2010-05-04|Tutorial/Howto|Freelance|2147.0|1266.0|1177.0|1084.0|1187.0|1071.0|1186.0|1120.0|11362.0
2010-05-04|Tutorial/Howto|Freelance|1219.0|144.0|207.0|346.0|211.0|245.0|310.0|229.0|3051.0
2010-05-04|Tutorial/Howto|Freelance|6642.0|266.0|253.0|182.0|166.0|311.0|164.0|79.0|8153.0
2010-05-04|Tutorial/Howto|Freelance|646.0|157.0|123.0|168.0|122.0|171.0|181.0|98.0|1755.0
2010-05-03|Tutorial/Howto|Freelance|1009.0|312.0|188.0|217.0|306.0|318.0|343.0|362.0|3483.0
2010-05-03|Tutorial/Howto|Freelance|403.0|35.0|26.0|24.0|28.0|6.0|28.0|8.0|563.0
2010-05-03|Tutorial/Howto|Freelance|1801.0|217.0|144.0|111.0|178.0|201.0|146.0|148.0|3080.0
2010-05-03|Tutorial/Howto|Freelance|716.0|108.0|115.0|97.0|100.0|86.0|68.0|64.0|1411.0
2010-05-05|Tutorial/Howto|Freelance|289.0|18.0|3.0|6.0|0.0|0.0|0.0|0.0|316.0
2010-05-05|Tutorial/Howto|Freelance|1842.0|591.0|177.0|172.0|193.0|181.0|234.0|131.0|3697.0
2010-05-07|Tutorial/Howto|Freelance|1032.0|190.0|42.0|30.0|27.0|20.0|27.0|16.0|1397.0
2010-05-26|Tutorial/Howto|Freelance|853.0|267.0|78.0|31.0|57.0|15.0|27.0|6.0|1334.0
2010-05-12|Tutorial/Howto|Freelance|5013.0|811.0|619.0|895.0|1021.0|837.0|834.0|447.0|11063.0
2010-05-04|Tutorial/Howto|Freelance|378.0|52.0|50.0|26.0|18.0|33.0|24.0|50.0|658.0
2010-05-06|Tutorial/Howto|Freelance|822.0|101.0|58.0|37.0|27.0|37.0|40.0|17.0|1151.0
2010-05-07|Tutorial/Howto|Freelance|4612.0|654.0|569.0|400.0|395.0|260.0|226.0|180.0|7500.0
2010-05-11|Tutorial/Howto|Freelance|1067.0|459.0|424.0|301.0|470.0|493.0|449.0|426.0|4541.0
2010-05-27|Tutorial/Howto|Freelance|1930.0|954.0|291.0|210.0|140.0|402.0|343.0|265.0|4535.0
2010-05-10|Tutorial/Howto|Freelance|802.0|386.0|247.0|249.0|239.0|196.0|194.0|133.0|2576.0
2010-05-17|Tutorial/Howto|Freelance|1605.0|196.0|139.0|105.0|71.0|59.0|39.0|62.0|2276.0
2010-05-17|Tutorial/Howto|Freelance|671.0|195.0|98.0|88.0|93.0|90.0|57.0|72.0|1364.0
2010-05-24|Tutorial/Howto|Freelance|210.0|73.0|57.0|76.0|46.0|48.0|25.0|10.0|545.0
2010-05-26|Tutorial/Howto|Freelance|732.0|243.0|92.0|68.0|38.0|49.0|28.0|11.0|1261.0
2010-05-13|Tutorial/Howto|Freelance|5774.0|778.0|554.0|531.0|493.0|436.0|443.0|570.0|10024.0
2010-05-24|Tutorial/Howto|Freelance|2547.0|558.0|324.0|237.0|208.0|195.0|162.0|174.0|4405.0
2010-05-26|Tutorial/Howto|Contributed|1806.0|376.0|177.0|117.0|268.0|130.0|51.0|84.0|3009.0
2010-05-27|Tutorial/Howto|Freelance|1332.0|274.0|108.0|103.0|160.0|197.0|173.0|119.0|2466.0
2010-05-28|Tutorial/Howto|Freelance|1126.0|467.0|557.0|324.0|427.0|370.0|231.0|157.0|3659.0
2010-05-17|Tutorial/Howto|Freelance|1099.0|256.0|177.0|107.0|173.0|112.0|64.0|95.0|2083.0
2010-05-18|Tutorial/Howto|Freelance|3570.0|382.0|542.0|418.0|485.0|502.0|538.0|343.0|6780.0
2010-05-19|Tutorial/Howto|Contributed|1642.0|371.0|330.0|86.0|0.0|0.0|0.0|0.0|2429.0
2010-05-20|Tutorial/Howto|Contributed|718.0|141.0|66.0|22.0|0.0|0.0|0.0|0.0|947.0
2010-05-20|Tutorial/Howto|Freelance|1301.0|153.0|211.0|142.0|114.0|157.0|145.0|154.0|2377.0
2010-05-21|Tutorial/Howto|Freelance|2217.0|564.0|813.0|468.0|701.0|459.0|520.0|396.0|6138.0
2010-05-10|Tutorial/Howto|Freelance|2009.0|112.0|156.0|80.0|52.0|65.0|90.0|79.0|2713.0
2010-05-11|Tutorial/Howto|Freelance|6147.0|468.0|319.0|199.0|265.0|455.0|389.0|402.0|9286.0
2010-05-12|Tutorial/Howto|Contributed|599.0|238.0|155.0|220.0|80.0|182.0|193.0|115.0|1891.0
2010-05-13|Tutorial/Howto|Freelance|2226.0|309.0|203.0|121.0|140.0|198.0|197.0|114.0|3674.0
2010-05-14|Tutorial/Howto|Freelance|1763.0|348.0|158.0|105.0|138.0|83.0|82.0|99.0|2901.0
2010-05-03|Tutorial/Howto|Freelance|1056.0|143.0|311.0|233.0|113.0|148.0|135.0|204.0|2501.0
2010-05-04|Tutorial/Howto|Freelance|1092.0|153.0|60.0|57.0|31.0|45.0|24.0|51.0|1537.0
2010-05-05|Tutorial/Howto|Contributed|671.0|84.0|69.0|87.0|81.0|43.0|59.0|46.0|1149.0
2010-05-06|Tutorial/Howto|Contributed|39.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|39.0
2010-05-06|Tutorial/Howto|Freelance|1151.0|217.0|358.0|299.0|186.0|315.0|279.0|251.0|3315.0
2010-05-07|Tutorial/Howto|Freelance|3958.0|1074.0|1201.0|1135.0|1109.0|817.0|980.0|704.0|11982.0
2010-05-30|Trends|Freelance|1872.0|306.0|185.0|116.0|251.0|113.0|82.0|93.0|3018.0
2010-05-28|Trends|Freelance|271.0|88.0|96.0|116.0|309.0|180.0|99.0|58.0|1217.0
2010-05-28|Trends|Freelance|75.0|19.0|17.0|23.0|21.0|12.0|18.0|7.0|192.0
2010-05-28|Trends|Contributed|239.0|15.0|4.0|15.0|16.0|17.0|7.0|1.0|314.0
2010-05-27|Trends|Freelance|242.0|25.0|22.0|15.0|7.0|0.0|2.0|0.0|313.0
2010-05-27|Trends|Freelance|1996.0|131.0|129.0|70.0|47.0|88.0|77.0|63.0|2601.0
2010-05-27|Trends|Freelance|158.0|8.0|3.0|3.0|3.0|3.0|3.0|2.0|183.0
2010-05-26|Trends|Contributed|477.0|165.0|186.0|162.0|103.0|70.0|37.0|37.0|1237.0
2010-05-26|Trends|Editor-Written|246.0|28.0|16.0|2.0|4.0|1.0|1.0|0.0|298.0
2010-05-26|Trends|Editor-Written|68.0|7.0|7.0|2.0|0.0|0.0|0.0|0.0|84.0
2010-05-26|Trends|Freelance|6552.0|516.0|264.0|158.0|87.0|91.0|88.0|59.0|7815.0
2010-05-26|Trends|Freelance|1112.0|115.0|70.0|47.0|34.0|25.0|41.0|41.0|1485.0
2010-05-26|Trends|Freelance|4682.0|2626.0|1555.0|1518.0|1665.0|2430.0|2722.0|1941.0|19139.0
2010-05-25|Trends|Freelance|1780.0|1028.0|737.0|407.0|256.0|204.0|206.0|148.0|4766.0
2010-05-25|Trends|Freelance|2017.0|199.0|22.0|24.0|12.0|14.0|19.0|7.0|2314.0
2010-05-25|Trends|Freelance|122.0|9.0|5.0|1.0|1.0|0.0|2.0|1.0|141.0
2010-05-25|Trends|Freelance|59.0|35.0|22.0|10.0|0.0|2.0|2.0|0.0|130.0
2010-05-24|Trends|Freelance|1838.0|35.0|43.0|44.0|38.0|26.0|9.0|13.0|2046.0
2010-05-24|Trends|Freelance|913.0|58.0|41.0|71.0|72.0|105.0|65.0|61.0|1386.0
2010-05-21|Trends|Contributed|1474.0|113.0|46.0|116.0|57.0|41.0|39.0|27.0|1913.0
2010-05-20|Trends|Freelance|139.0|24.0|22.0|19.0|22.0|12.0|19.0|11.0|268.0
2010-05-19|Trends|Freelance|688.0|153.0|236.0|288.0|173.0|212.0|298.0|232.0|2280.0
2010-05-18|Trends|Freelance|580.0|91.0|66.0|90.0|77.0|58.0|78.0|140.0|1180.0
2010-05-17|Trends|Editor-Written|108.0|34.0|27.0|29.0|35.0|31.0|42.0|30.0|336.0
2010-05-14|Trends|Contributed|194.0|43.0|38.0|23.0|23.0|24.0|22.0|20.0|404.0
2010-05-14|Trends|Editor-Written|157.0|13.0|11.0|5.0|6.0|7.0|9.0|0.0|212.0
2010-05-13|Trends|Editor-Written|86.0|29.0|9.0|2.0|3.0|2.0|0.0|3.0|135.0
2010-05-13|Trends|Freelance|110.0|31.0|21.0|11.0|10.0|12.0|15.0|6.0|218.0
2010-05-12|Trends|Freelance|139.0|25.0|18.0|16.0|8.0|15.0|15.0|10.0|256.0
2010-05-11|Trends|Editor-Written|153.0|41.0|45.0|27.0|16.0|28.0|12.0|5.0|343.0
2010-05-11|Trends|Freelance|218.0|27.0|33.0|22.0|16.0|5.0|21.0|4.0|356.0
2010-05-10|Trends|Freelance|328.0|128.0|89.0|106.0|90.0|65.0|37.0|34.0|898.0
2010-05-07|Trends|Freelance|345.0|95.0|29.0|30.0|33.0|20.0|20.0|14.0|613.0
2010-05-06|Trends|Freelance|261.0|85.0|80.0|79.0|114.0|70.0|58.0|56.0|855.0
2010-05-06|Trends|Freelance|473.0|83.0|85.0|53.0|65.0|41.0|32.0|24.0|894.0
2010-05-05|Trends|Freelance|235.0|49.0|20.0|22.0|18.0|22.0|21.0|12.0|412.0
2010-05-05|Trends|Freelance|305.0|28.0|18.0|16.0|5.0|7.0|5.0|4.0|392.0
2010-05-04|Trends|Editor-Written|214.0|59.0|28.0|12.0|11.0|8.0|13.0|8.0|374.0
2010-05-04|Trends|Freelance|5.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0
2010-05-03|Trends|Contributed|322.0|108.0|23.0|46.0|27.0|18.0|23.0|25.0|631.0
2010-05-25|Trends|Freelance|7582.0|320.0|287.0|280.0|324.0|445.0|388.0|295.0|9921.0
2010-05-26|Trends|Contributed|1119.0|33.0|23.0|41.0|22.0|26.0|23.0|11.0|1298.0
2010-05-28|Product Review|Freelance|8008.0|506.0|346.0|280.0|179.0|258.0|171.0|176.0|9924.0
2010-05-27|Product Review|Editor-Written|1222.0|1019.0|977.0|812.0|621.0|536.0|683.0|691.0|6561.0
2010-05-26|Product Review|Contributed|759.0|260.0|243.0|153.0|157.0|132.0|119.0|101.0|1924.0
2010-05-25|Product Review|Freelance|2008.0|79.0|45.0|42.0|39.0|25.0|13.0|8.0|2259.0
2010-05-24|Product Review|Freelance|1863.0|319.0|137.0|156.0|148.0|149.0|86.0|62.0|2920.0
2010-05-24|Product Review|Freelance|1010.0|275.0|134.0|163.0|92.0|50.0|42.0|21.0|1787.0
2010-05-24|Product Review|Freelance|48.0|9.0|11.0|2.0|3.0|11.0|1.0|1.0|86.0
2010-05-20|Product Review|Freelance|455.0|106.0|135.0|234.0|110.0|62.0|87.0|133.0|1322.0
2010-05-20|Product Review|Freelance|349.0|112.0|141.0|129.0|142.0|157.0|97.0|85.0|1212.0
2010-05-20|Product Review|Freelance|383.0|54.0|63.0|58.0|74.0|43.0|34.0|26.0|735.0
2010-05-18|Product Review|Freelance|297.0|105.0|62.0|24.0|40.0|20.0|21.0|40.0|609.0
2010-05-18|Product Review|Freelance|1822.0|290.0|251.0|230.0|147.0|156.0|186.0|229.0|3311.0
2010-05-13|Product Review|Editor-Written|464.0|82.0|81.0|70.0|32.0|26.0|22.0|28.0|816.0
2010-05-13|Product Review|Freelance|607.0|203.0|188.0|191.0|50.0|99.0|162.0|108.0|1706.0
2010-05-12|Product Review|Freelance|5864.0|679.0|506.0|563.0|529.0|577.0|617.0|705.0|10743.0
2010-05-06|Product Review|Freelance|131.0|19.0|20.0|11.0|10.0|11.0|15.0|9.0|245.0
2010-05-06|Product Review|Freelance|353.0|86.0|55.0|61.0|36.0|36.0|39.0|20.0|716.0
2010-05-03|Product Review|Freelance|377.0|131.0|109.0|146.0|140.0|106.0|177.0|149.0|1477.0
2010-05-11|Product Review|Freelance|8394.0|421.0|409.0|427.0|303.0|291.0|349.0|314.0|11168.0
2010-05-19|Product Review|Editor-Written|10339.0|872.0|497.0|696.0|352.0|329.0|331.0|484.0|13900.0
2010-05-25|Product Review|Freelance|3879.0|574.0|619.0|592.0|660.0|646.0|525.0|494.0|7989.0
2010-05-26|Top 10|Freelance|3776.0|314.0|173.0|82.0|74.0|86.0|55.0|78.0|4638.0
2010-05-24|Top 10|Freelance|6535.0|428.0|144.0|81.0|34.0|23.0|37.0|10.0|7292.0
2010-05-24|Top 10|Freelance|14415.0|4468.0|6166.0|3392.0|2871.0|2381.0|2411.0|2182.0|38286.0
2010-05-20|Top 10|Freelance|2641.0|428.0|286.0|413.0|408.0|550.0|605.0|606.0|5937.0
2010-05-18|Top 10|Editor-Written|417.0|67.0|88.0|61.0|74.0|42.0|48.0|26.0|823.0
2010-05-18|Top 10|Freelance|5142.0|1342.0|2851.0|3584.0|3341.0|3991.0|4972.0|4753.0|29976.0
2010-05-18|Top 10|Freelance|21752.0|2913.0|1950.0|1731.0|1663.0|1647.0|1872.0|1634.0|35162.0
2010-05-17|Top 10|Freelance|2399.0|347.0|180.0|81.0|76.0|80.0|75.0|42.0|3280.0
2010-05-14|Top 10|Freelance|999.0|85.0|96.0|67.0|108.0|79.0|98.0|58.0|1692.0
2010-05-12|Top 10|Freelance|9032.0|2336.0|3552.0|3385.0|3941.0|4088.0|4771.0|5185.0|42449.0
2010-05-10|Top 10|Freelance|2652.0|515.0|326.0|428.0|453.0|437.0|478.0|485.0|6382.0
2010-05-05|Top 10|Freelance|2378.0|331.0|289.0|328.0|356.0|281.0|379.0|416.0|5044.0
2010-05-03|Top 10|Freelance|685.0|211.0|170.0|150.0|125.0|111.0|104.0|101.0|1756.0
2010-05-03|Top 10|Freelance|439.0|213.0|186.0|151.0|119.0|138.0|212.0|183.0|1707.0
2010-05-13|Top 10|Freelance|1256.0|17.0|2.0|12.0|0.0|7.0|0.0|4.0|1300.0
2010-05-19|Top 10|Freelance|2297.0|132.0|88.0|128.0|85.0|176.0|88.0|224.0|3218.0
2010-05-03|Top 10|Freelance|5739.0|347.0|263.0|221.0|308.0|249.0|378.0|386.0|8254.0
2010-05-10|Top 10|Freelance|7979.0|348.0|272.0|344.0|368.0|453.0|618.0|662.0|11764.0
2010-05-17|Top 10|Freelance|6043.0|824.0|188.0|113.0|116.0|66.0|70.0|122.0|7542.0
2010-05-25|Top 10|Freelance|2907.0|171.0|42.0|29.0|47.0|30.0|33.0|6.0|3265.0
2010-05-31|Tips and Tricks|Freelance|992.0|1044.0|1289.0|1599.0|1928.0|1915.0|2210.0|2725.0|13702.0
2010-05-27|Tips and Tricks|Freelance|754.0|128.0|61.0|100.0|95.0|73.0|66.0|86.0|1363.0
2010-05-26|Tips and Tricks|Freelance|750.0|129.0|116.0|119.0|3.0|111.0|106.0|57.0|1391.0
2010-05-25|Tips and Tricks|Freelance|481.0|209.0|164.0|95.0|131.0|85.0|105.0|79.0|1349.0
2010-05-25|Tips and Tricks|Freelance|4318.0|717.0|395.0|368.0|750.0|3775.0|730.0|604.0|11657.0
2010-05-24|Tips and Tricks|Freelance|962.0|130.0|187.0|285.0|179.0|161.0|124.0|57.0|2085.0
2010-05-21|Tips and Tricks|Contributed|411.0|50.0|26.0|17.0|23.0|15.0|14.0|9.0|565.0
2010-05-20|Tips and Tricks|Freelance|2901.0|256.0|216.0|112.0|61.0|78.0|66.0|257.0|3947.0
2010-05-19|Tips and Tricks|Freelance|805.0|118.0|69.0|57.0|43.0|52.0|77.0|37.0|1258.0
2010-05-19|Tips and Tricks|Freelance|130.0|69.0|82.0|75.0|44.0|51.0|56.0|64.0|571.0
2010-05-19|Tips and Tricks|Freelance|254.0|28.0|12.0|18.0|2.0|25.0|30.0|18.0|387.0
2010-05-18|Tips and Tricks|Contributed|285.0|19.0|16.0|6.0|3.0|6.0|4.0|1.0|340.0
2010-05-17|Tips and Tricks|Freelance|80.0|9.0|7.0|4.0|1.0|5.0|3.0|5.0|114.0
2010-05-17|Tips and Tricks|Freelance|1018.0|60.0|26.0|25.0|45.0|22.0|8.0|12.0|1216.0
2010-05-14|Tips and Tricks|Contributed|245.0|10.0|6.0|7.0|5.0|2.0|1.0|1.0|280.0
2010-05-13|Tips and Tricks|Freelance|5699.0|1244.0|755.0|858.0|696.0|689.0|845.0|800.0|12394.0
2010-05-13|Tips and Tricks|Contributed|417.0|64.0|46.0|41.0|47.0|35.0|29.0|23.0|720.0
2010-05-12|Tips and Tricks|Freelance|68.0|14.0|16.0|3.0|4.0|2.0|4.0|4.0|118.0
2010-05-12|Tips and Tricks|Freelance|286.0|37.0|18.0|13.0|8.0|5.0|5.0|2.0|375.0
2010-05-11|Tips and Tricks|Contributed|277.0|17.0|5.0|1.0|5.0|2.0|3.0|3.0|317.0
2010-05-10|Tips and Tricks|Freelance|1218.0|88.0|39.0|52.0|61.0|26.0|18.0|13.0|1537.0
2010-05-10|Tips and Tricks|Freelance|593.0|76.0|82.0|58.0|66.0|88.0|81.0|56.0|1161.0
2010-05-07|Tips and Tricks|Contributed|198.0|26.0|14.0|11.0|14.0|14.0|7.0|5.0|292.0
2010-05-07|Tips and Tricks|Contributed|336.0|68.0|52.0|53.0|54.0|74.0|58.0|28.0|786.0
2010-05-06|Tips and Tricks|Freelance|165.0|46.0|22.0|23.0|21.0|21.0|16.0|7.0|331.0
2010-05-05|Tips and Tricks|Freelance|443.0|111.0|72.0|97.0|44.0|33.0|142.0|96.0|1143.0
2010-05-04|Tips and Tricks|Contributed|502.0|119.0|77.0|42.0|34.0|26.0|43.0|15.0|886.0
2010-05-03|Tips and Tricks|Editor-Written|792.0|175.0|56.0|43.0|28.0|44.0|26.0|21.0|1200.0
2010-05-03|Tips and Tricks|Freelance|819.0|221.0|321.0|286.0|215.0|272.0|290.0|201.0|2832.0
2010-05-27|Tips and Tricks|Freelance|2212.0|236.0|214.0|99.0|165.0|117.0|148.0|164.0|3355.0
2010-05-18|Tips and Tricks|Contributed|301.0|24.0|55.0|24.0|19.0|24.0|9.0|33.0|489.0
2010-05-31|News|Freelance|1.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|3.0
2010-05-31|News|Freelance|3.0|0.0|0.0|2.0|1.0|0.0|0.0|0.0|6.0
2010-05-31|News|Freelance|1.0|4.0|1.0|0.0|1.0|0.0|0.0|0.0|7.0
2010-05-31|News|Freelance|5.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|7.0
2010-05-31|News|Freelance|2.0|0.0|3.0|0.0|0.0|0.0|0.0|3.0|8.0
2010-05-31|News|Freelance|5.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|8.0
2010-05-31|News|Freelance|5.0|0.0|0.0|4.0|0.0|0.0|1.0|0.0|10.0
2010-05-31|News|Freelance|4.0|1.0|1.0|0.0|3.0|1.0|0.0|0.0|10.0
2010-05-31|News|Freelance|1.0|0.0|0.0|0.0|8.0|2.0|4.0|0.0|15.0
2010-05-31|News|Freelance|4.0|0.0|0.0|2.0|0.0|0.0|2.0|2.0|10.0
2010-05-31|News|Freelance|295.0|14.0|11.0|7.0|4.0|10.0|3.0|5.0|349.0
2010-05-30|News|Freelance|92.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|94.0
2010-05-28|News|Freelance|15.0|8.0|2.0|5.0|0.0|0.0|1.0|1.0|32.0
2010-05-28|News|Editor-Written|79.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|81.0
2010-05-28|News|Editor-Written|52.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|53.0
2010-05-28|News|Editor-Written|101.0|37.0|28.0|20.0|18.0|16.0|9.0|9.0|238.0
2010-05-28|News|Contributed|1983.0|56.0|21.0|6.0|3.0|9.0|1.0|2.0|2081.0
2010-05-28|News|Editor-Written|1062.0|38.0|8.0|3.0|2.0|2.0|0.0|0.0|1115.0
2010-05-27|News|Freelance|201.0|93.0|62.0|36.0|63.0|57.0|44.0|28.0|584.0
2010-05-27|News|Freelance|223.0|12.0|13.0|12.0|10.0|7.0|10.0|12.0|299.0
2010-05-27|News|Freelance|172.0|70.0|17.0|7.0|5.0|1.0|2.0|3.0|277.0
